PM10,EPA_index,CO,temperature,humidity,PM25_lag_1,PM25_lag_2,PM25_lag_3,PM25_rolling_mean_3,PM10_rolling_mean_3,CO_rolling_mean_3,PM25_rolling_mean_6,PM10_rolling_mean_6,CO_rolling_mean_6,PM25_rolling_mean_12,PM10_rolling_mean_12,CO_rolling_mean_12
77.1,3,2616.9,31.1,63,16.3,12.4,18.7,25.766666666666666,43.76666666666667,1482.0333333333335,25.71666666666667,44.1,1437.5166666666667,27.641666666666666,47.975,1552.1166666666668
60.0,2,1668.9,32.4,63,48.6,16.3,12.4,32.133333333333326,55.43333333333334,1753.5,24.666666666666668,44.6,1381.8833333333334,27.774999999999995,48.26666666666667,1564.3500000000001
39.5,2,1148.2,30.1,75,31.5,48.6,16.3,33.26666666666666,58.866666666666674,1811.3333333333337,24.53333333333333,45.4,1390.7833333333335,27.79166666666666,47.991666666666674,1562.125
48.2,2,1442.0,28.0,79,19.7,31.5,48.6,25.73333333333333,49.23333333333333,1419.7,25.75,46.5,1450.8666666666668,24.816666666666663,44.375,1397.4583333333333
74.6,3,2910.6,29.1,79,26.0,19.7,31.5,29.966666666666665,54.1,1833.5999999999997,31.05,54.76666666666666,1793.55,26.641666666666666,47.01666666666666,1534.3083333333334
64.7,2,1842.5,28.1,84,44.2,26.0,19.7,35.23333333333333,62.5,2065.0333333333333,34.25,60.68333333333334,1938.1833333333332,27.033333333333335,48.09166666666667,1540.9833333333333
44.3,2,1255.0,31.3,66,35.5,44.2,26.0,34.4,61.20000000000001,2002.7,30.066666666666666,55.21666666666666,1711.2,27.891666666666666,49.65833333333333,1574.3583333333333
81.5,3,2616.9,30.3,70,23.5,35.5,44.2,36.43333333333333,63.5,1904.8,33.199999999999996,58.79999999999999,1869.2,28.933333333333337,51.699999999999996,1625.5416666666667
57.8,2,1735.7,30.3,79,50.3,23.5,35.5,34.83333333333333,61.199999999999996,1869.1999999999998,35.03333333333334,61.849999999999994,1967.1166666666666,29.783333333333335,53.625,1678.9499999999998
54.4,2,1415.3,30.2,75,30.7,50.3,23.5,36.033333333333324,64.56666666666668,1922.6333333333332,35.21666666666667,62.883333333333326,1962.6666666666667,30.483333333333334,54.69166666666666,1706.7666666666667
43.8,2,1562.1,25.4,100,27.1,30.7,50.3,27.2,52.0,1571.033333333333,31.816666666666666,57.75,1737.9166666666667,31.433333333333334,56.258333333333326,1765.7333333333333
59.8,2,1762.4,26.3,89,23.8,27.1,30.7,26.66666666666666,52.666666666666664,1579.9333333333332,30.75,56.93333333333333,1724.5666666666668,32.5,58.80833333333334,1831.375
